location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,Single dose shipments,2049,3526.7609,2059.8328,5453.7013
bangladesh,Single dose shipments,2050,4242.3356,2458.5101,6481.0621
bangladesh,Single dose shipments,2051,5162.3602,3071.8598,7717.9841
bangladesh,Single dose shipments,2052,6184.6097,3879.4370,8995.7961
bangladesh,Single dose shipments,2053,7360.1967,4538.7879,10488.2805
bangladesh,Single dose shipments,2054,8714.6774,5443.4788,12072.7674
bangladesh,Single dose shipments,2055,10120.2706,6557.7308,13825.9255
bangladesh,Single dose shipments,2056,11653.6450,7625.9816,15941.9822
bangladesh,Single dose shipments,2057,13187.0194,9006.0185,18252.2664
bangladesh,Single dose shipments,2058,15001.5125,10483.1692,20460.3257
bangladesh,Single dose shipments,2059,17199.3492,12067.6561,23169.2873
bangladesh,Single dose shipments,2060,19294.9610,13698.1442,26087.8100
bangladesh,Single dose shipments,2061,21850.5851,15435.9685,29072.7790
bangladesh,Single dose shipments,2062,24457.3218,17219.7941,32088.4155
bangladesh,Single dose shipments,2063,27166.2834,19233.6259,35405.6157
bangladesh,Single dose shipments,2064,29696.3513,21313.9039,38395.6960
bangladesh,Single dose shipments,2065,32507.5379,23496.4069,42132.0186
bangladesh,Single dose shipments,2066,35446.5057,25990.6960,45505.4424
bangladesh,Single dose shipments,2067,38308.8047,28362.3152,49195.7637
bangladesh,Single dose shipments,2068,41503.3350,30498.8170,52804.3051
bangladesh,Single dose shipments,2069,44442.3028,32834.6574,56453.7362
bangladesh,Single dose shipments,2070,47509.0517,35216.4991,59980.4976
bangladesh,Single dose shipments,2071,50601.3569,37664.7870,63558.3715
bangladesh,Single dose shipments,2072,53412.5435,40164.1874,66967.5741
bangladesh,Single dose shipments,2073,56121.5051,42443.8042,70622.1167
bangladesh,Single dose shipments,2074,58881.5792,44892.0921,73995.5406
bangladesh,Single dose shipments,2075,61590.5408,46824.1439,77435.4107
bangladesh,Single dose shipments,2076,64222.8337,48756.1957,80762.8335
bangladesh,Single dose shipments,2077,66804.0141,50672.9137,83998.2537
bangladesh,Single dose shipments,2078,69308.5257,52599.8543,87300.1201
bangladesh,Single dose shipments,2079,71864.1499,54388.7911,90438.4266
bangladesh,Single dose shipments,2080,74189.7678,56121.5042,93413.1732
bangladesh,Single dose shipments,2081,76438.7170,57900.2185,96479.9222
bangladesh,Single dose shipments,2082,78508.7725,59316.0342,99199.1063
bangladesh,Single dose shipments,2083,80553.2718,60793.1849,101882.5117
bangladesh,Single dose shipments,2084,82418.8774,62260.1130,104310.3546
bangladesh,Single dose shipments,2085,84488.9329,63839.4887,106830.2000
bangladesh,Single dose shipments,2086,86405.6509,65209.3031,109145.5955
bangladesh,Single dose shipments,2087,88015.6941,66180.4402,111113.4260
bangladesh,Single dose shipments,2088,89497.9560,67448.0296,112958.5866
bangladesh,Single dose shipments,2089,90980.2179,68659.3953,114916.1946
bangladesh,Single dose shipments,2090,92513.5923,69783.8699,116873.8026
bangladesh,Single dose shipments,2091,93868.0730,70647.6707,118524.7358
bangladesh,Single dose shipments,2092,95043.6600,71511.4716,120318.7838
bangladesh,Single dose shipments,2093,96091.4658,72370.1612,121755.0445
bangladesh,Single dose shipments,2094,97011.4904,73075.5134,123237.3064
bangladesh,Single dose shipments,2095,97880.4025,73785.9768,124423.1159
bangladesh,Single dose shipments,2096,98825.9833,74394.2153,125716.2616
bangladesh,Single dose shipments,2097,99669.3392,74900.2288,126799.8462
bangladesh,Single dose shipments,2098,100308.2451,75360.2411,127883.4307
bangladesh,Single dose shipments,2099,100998.2636,75758.9184,128808.5666
bangladesh,Single dose shipments,2100,101560.5008,76162.7069,129835.9274
bangladesh,Single dose shipments,2101,102122.7380,76515.3830,130602.6146
bangladesh,Single dose shipments,2102,102582.7503,76862.9479,131215.9643
bangladesh,Single dose shipments,2103,102991.6502,77164.5115,131829.3140
bangladesh,Single dose shipments,2104,103323.8813,77414.9626,132340.4388
bangladesh,Single dose shipments,2105,103553.8874,77568.3001,132749.3386
bangladesh,Single dose shipments,2106,103860.5623,77670.5250,133260.4633
bangladesh,Single dose shipments,2107,104116.1246,77721.6375,133567.1382
bangladesh,Single dose shipments,2108,104320.5745,77772.7500,133832.9231
bangladesh,Single dose shipments,2109,104422.7995,77818.7512,133991.3718
bangladesh,Single dose shipments,2110,104473.9120,77818.7512,134195.8217
bangladesh,Single dose shipments,2111,104525.0244,77818.7512,134303.1579
bangladesh,Single dose shipments,2112,104576.1369,77818.7512,134405.3828
bangladesh,Single dose shipments,2113,104576.1369,77818.7512,134461.6065
bangladesh,Single dose shipments,2114,104576.1369,77818.7512,134512.7190
bangladesh,Single dose shipments,2115,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2116,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2117,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2118,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2119,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2120,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2121,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2122,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2123,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2124,104576.1369,77818.7512,134517.8303
bangladesh,Single dose shipments,2125,104576.1369,77818.7512,134517.8303
bangladesh,Single dose actual,2024,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2025,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2026,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2027,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2028,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2029,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2030,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2031,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2032,0.0000,0.0000,51.1125
bangladesh,Single dose actual,2033,0.0000,0.0000,56.2237
bangladesh,Single dose actual,2034,0.0000,0.0000,112.4474
bangladesh,Single dose actual,2035,0.0000,0.0000,163.5599
bangladesh,Single dose actual,2036,25.5562,0.0000,265.7849
bangladesh,Single dose actual,2037,25.5562,0.0000,368.0098
bangladesh,Single dose actual,2038,76.6687,0.0000,470.2348
