comparison,year,cum_med,cum_lb,cum_ub
Single dose actual vs Double dose,2069.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2070.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2071.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2072.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2073.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2074.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2075.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2076.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2077.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2078.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2079.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2080.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2081.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2082.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2083.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2084.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2085.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2086.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2087.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2088.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2089.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2090.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2091.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2092.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2093.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2094.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2095.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2096.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2097.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2098.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2099.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2100.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2101.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2102.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2103.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2104.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2105.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2106.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2107.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2108.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2109.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2110.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2111.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2112.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2113.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2114.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2115.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2116.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2117.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2118.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2119.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2120.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2121.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2122.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2123.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2124.0000,0.0000,0.0000,0.0000
Single dose actual vs Double dose,2125.0000,0.0000,0.0000,0.0000
