location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,Double dose,2048,0.0000,0.0000,0.0000
bangladesh,Double dose,2049,0.0000,0.0000,0.0000
bangladesh,Double dose,2050,0.0000,0.0000,0.0000
bangladesh,Double dose,2051,0.0000,0.0000,0.0000
bangladesh,Double dose,2052,0.0000,0.0000,0.0000
bangladesh,Double dose,2053,0.0000,0.0000,0.0000
bangladesh,Double dose,2054,0.0000,0.0000,0.0000
bangladesh,Double dose,2055,0.0000,0.0000,0.0000
bangladesh,Double dose,2056,0.0000,0.0000,0.0000
bangladesh,Double dose,2057,0.0000,0.0000,0.0000
bangladesh,Double dose,2058,0.0000,0.0000,0.0000
bangladesh,Double dose,2059,0.0000,0.0000,0.0000
bangladesh,Double dose,2060,0.0000,0.0000,0.0000
bangladesh,Double dose,2061,0.0000,0.0000,0.0000
bangladesh,Double dose,2062,0.0000,0.0000,0.0000
bangladesh,Double dose,2063,0.0000,0.0000,0.0000
bangladesh,Double dose,2064,0.0000,0.0000,0.0000
bangladesh,Double dose,2065,0.0000,0.0000,0.0000
bangladesh,Double dose,2066,0.0000,0.0000,0.0000
bangladesh,Double dose,2067,0.0000,0.0000,0.0000
bangladesh,Double dose,2068,0.0000,0.0000,0.0000
bangladesh,Double dose,2069,0.0000,0.0000,0.0000
bangladesh,Double dose,2070,0.0000,0.0000,0.0000
bangladesh,Double dose,2071,0.0000,0.0000,0.0000
bangladesh,Double dose,2072,0.0000,0.0000,0.0000
bangladesh,Double dose,2073,0.0000,0.0000,0.0000
bangladesh,Double dose,2074,0.0000,0.0000,0.0000
bangladesh,Double dose,2075,0.0000,0.0000,0.0000
bangladesh,Double dose,2076,0.0000,0.0000,0.0000
bangladesh,Double dose,2077,0.0000,0.0000,0.0000
bangladesh,Double dose,2078,0.0000,0.0000,0.0000
bangladesh,Double dose,2079,0.0000,0.0000,0.0000
bangladesh,Double dose,2080,0.0000,0.0000,0.0000
bangladesh,Double dose,2081,0.0000,0.0000,0.0000
bangladesh,Double dose,2082,0.0000,0.0000,0.0000
bangladesh,Double dose,2083,0.0000,0.0000,0.0000
bangladesh,Double dose,2084,0.0000,0.0000,0.0000
bangladesh,Double dose,2085,0.0000,0.0000,0.0000
bangladesh,Double dose,2086,0.0000,0.0000,0.0000
bangladesh,Double dose,2087,0.0000,0.0000,0.0000
bangladesh,Double dose,2088,0.0000,0.0000,0.0000
bangladesh,Double dose,2089,0.0000,0.0000,0.0000
bangladesh,Double dose,2090,0.0000,0.0000,0.0000
bangladesh,Double dose,2091,0.0000,0.0000,0.0000
bangladesh,Double dose,2092,0.0000,0.0000,0.0000
bangladesh,Double dose,2093,0.0000,0.0000,0.0000
bangladesh,Double dose,2094,0.0000,0.0000,0.0000
bangladesh,Double dose,2095,0.0000,0.0000,0.0000
bangladesh,Double dose,2096,0.0000,0.0000,0.0000
bangladesh,Double dose,2097,0.0000,0.0000,0.0000
bangladesh,Double dose,2098,0.0000,0.0000,0.0000
bangladesh,Double dose,2099,0.0000,0.0000,0.0000
bangladesh,Double dose,2100,0.0000,0.0000,0.0000
bangladesh,Double dose,2101,0.0000,0.0000,0.0000
bangladesh,Double dose,2102,0.0000,0.0000,0.0000
bangladesh,Double dose,2103,0.0000,0.0000,0.0000
bangladesh,Double dose,2104,0.0000,0.0000,0.0000
bangladesh,Double dose,2105,0.0000,0.0000,0.0000
bangladesh,Double dose,2106,0.0000,0.0000,0.0000
bangladesh,Double dose,2107,0.0000,0.0000,0.0000
bangladesh,Double dose,2108,0.0000,0.0000,0.0000
bangladesh,Double dose,2109,0.0000,0.0000,0.0000
bangladesh,Double dose,2110,0.0000,0.0000,0.0000
bangladesh,Double dose,2111,0.0000,0.0000,0.0000
bangladesh,Double dose,2112,0.0000,0.0000,0.0000
bangladesh,Double dose,2113,0.0000,0.0000,0.0000
bangladesh,Double dose,2114,0.0000,0.0000,0.0000
bangladesh,Double dose,2115,0.0000,0.0000,0.0000
bangladesh,Double dose,2116,0.0000,0.0000,0.0000
bangladesh,Double dose,2117,0.0000,0.0000,0.0000
bangladesh,Double dose,2118,0.0000,0.0000,0.0000
bangladesh,Double dose,2119,0.0000,0.0000,0.0000
bangladesh,Double dose,2120,0.0000,0.0000,0.0000
bangladesh,Double dose,2121,0.0000,0.0000,0.0000
bangladesh,Double dose,2122,0.0000,0.0000,0.0000
bangladesh,Double dose,2123,0.0000,0.0000,0.0000
bangladesh,Double dose,2124,0.0000,0.0000,0.0000
bangladesh,Double dose,2125,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2024,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2025,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2026,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2027,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2028,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2029,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2030,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2031,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2032,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2033,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2034,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2035,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2036,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2037,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2038,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2039,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2040,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2041,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2042,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2043,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2044,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2045,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2046,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2047,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2048,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2049,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2050,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2051,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2052,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2053,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2054,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2055,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2056,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2057,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2058,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2059,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2060,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2061,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2062,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2063,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2064,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2065,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2066,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2067,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2068,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2069,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2070,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2071,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2072,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2073,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2074,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2075,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2076,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2077,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2078,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2079,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2080,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2081,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2082,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2083,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2084,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2085,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2086,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2087,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2088,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2089,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2090,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2091,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2092,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2093,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2094,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2095,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2096,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2097,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2098,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2099,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2100,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2101,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2102,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2103,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2104,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2105,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2106,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2107,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2108,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2109,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2110,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2111,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2112,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2113,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2114,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2115,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2116,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2117,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2118,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2119,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2120,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2121,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2122,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2123,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2124,0.0000,0.0000,0.0000
bangladesh,Single dose shipments,2125,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2024,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2025,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2026,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2027,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2028,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2029,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2030,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2031,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2032,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2033,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2034,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2035,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2036,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2037,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2038,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2039,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2040,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2041,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2042,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2043,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2044,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2045,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2046,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2047,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2048,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2049,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2050,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2051,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2052,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2053,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2054,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2055,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2056,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2057,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2058,0.0000,0.0000,0.0000
bangladesh,Single dose actual,2059,0.0000,0.0000,0.0000
