scenario,year,cum_med,cum_lb,cum_ub
Single dose shipments,2077.0000,0.0000,0.0000,0.0000
Single dose shipments,2078.0000,0.0000,0.0000,0.0000
Single dose shipments,2079.0000,0.0000,0.0000,0.0000
Single dose shipments,2080.0000,0.0000,0.0000,0.0000
Single dose shipments,2081.0000,0.0000,0.0000,0.0000
Single dose shipments,2082.0000,0.0000,0.0000,0.0000
Single dose shipments,2083.0000,0.0000,0.0000,0.0000
Single dose shipments,2084.0000,0.0000,0.0000,0.0000
Single dose shipments,2085.0000,0.0000,0.0000,0.0000
Single dose shipments,2086.0000,0.0000,0.0000,0.0000
Single dose shipments,2087.0000,0.0000,0.0000,0.0000
Single dose shipments,2088.0000,0.0000,0.0000,0.0000
Single dose shipments,2089.0000,0.0000,0.0000,0.0000
Single dose shipments,2090.0000,0.0000,0.0000,0.0000
Single dose shipments,2091.0000,0.0000,0.0000,0.0000
Single dose shipments,2092.0000,0.0000,0.0000,0.0000
Single dose shipments,2093.0000,0.0000,0.0000,0.0000
Single dose shipments,2094.0000,0.0000,0.0000,0.0000
Single dose shipments,2095.0000,0.0000,0.0000,0.0000
Single dose shipments,2096.0000,0.0000,0.0000,0.0000
Single dose shipments,2097.0000,0.0000,0.0000,0.0000
Single dose shipments,2098.0000,0.0000,0.0000,0.0000
Single dose shipments,2099.0000,0.0000,0.0000,0.0000
Single dose shipments,2100.0000,0.0000,0.0000,0.0000
Single dose shipments,2101.0000,0.0000,0.0000,0.0000
Single dose shipments,2102.0000,0.0000,0.0000,0.0000
Single dose shipments,2103.0000,0.0000,0.0000,0.0000
Single dose shipments,2104.0000,0.0000,0.0000,0.0000
Single dose shipments,2105.0000,0.0000,0.0000,0.0000
Single dose shipments,2106.0000,0.0000,0.0000,0.0000
Single dose shipments,2107.0000,0.0000,0.0000,0.0000
Single dose shipments,2108.0000,0.0000,0.0000,0.0000
Single dose shipments,2109.0000,0.0000,0.0000,0.0000
Single dose shipments,2110.0000,0.0000,0.0000,0.0000
Single dose shipments,2111.0000,0.0000,0.0000,0.0000
Single dose shipments,2112.0000,0.0000,0.0000,0.0000
Single dose shipments,2113.0000,0.0000,0.0000,0.0000
Single dose shipments,2114.0000,0.0000,0.0000,0.0000
Single dose shipments,2115.0000,0.0000,0.0000,0.0000
Single dose shipments,2116.0000,0.0000,0.0000,0.0000
Single dose shipments,2117.0000,0.0000,0.0000,0.0000
Single dose shipments,2118.0000,0.0000,0.0000,0.0000
Single dose shipments,2119.0000,0.0000,0.0000,0.0000
Single dose shipments,2120.0000,0.0000,0.0000,0.0000
Single dose shipments,2121.0000,0.0000,0.0000,0.0000
Single dose shipments,2122.0000,0.0000,0.0000,0.0000
Single dose shipments,2123.0000,0.0000,0.0000,0.0000
Single dose shipments,2124.0000,0.0000,0.0000,0.0000
Single dose shipments,2125.0000,0.0000,0.0000,0.0000
Single dose actual,2024.0000,0.0000,0.0000,0.0000
Single dose actual,2025.0000,0.0000,0.0000,0.0000
Single dose actual,2026.0000,0.0000,0.0000,0.0000
Single dose actual,2027.0000,0.0000,0.0000,0.0000
Single dose actual,2028.0000,0.0000,0.0000,0.0000
Single dose actual,2029.0000,0.0000,0.0000,0.0000
Single dose actual,2030.0000,0.0000,0.0000,0.0000
Single dose actual,2031.0000,0.0000,0.0000,0.0000
Single dose actual,2032.0000,0.0000,0.0000,0.0000
Single dose actual,2033.0000,0.0000,0.0000,0.0000
Single dose actual,2034.0000,0.0000,0.0000,0.0000
Single dose actual,2035.0000,0.0000,0.0000,0.0000
Single dose actual,2036.0000,0.0000,0.0000,0.0000
Single dose actual,2037.0000,0.0000,0.0000,0.0000
Single dose actual,2038.0000,0.0000,0.0000,0.0000
Single dose actual,2039.0000,0.0000,0.0000,0.0000
Single dose actual,2040.0000,0.0000,0.0000,0.0000
Single dose actual,2041.0000,0.0000,0.0000,0.0000
Single dose actual,2042.0000,0.0000,0.0000,0.0000
Single dose actual,2043.0000,0.0000,0.0000,0.0000
Single dose actual,2044.0000,0.0000,0.0000,0.0000
Single dose actual,2045.0000,0.0000,0.0000,0.0000
Single dose actual,2046.0000,0.0000,0.0000,0.0000
Single dose actual,2047.0000,0.0000,0.0000,0.0000
Single dose actual,2048.0000,0.0000,0.0000,0.0000
Single dose actual,2049.0000,0.0000,0.0000,0.0000
Single dose actual,2050.0000,0.0000,0.0000,0.0000
Single dose actual,2051.0000,0.0000,0.0000,0.0000
Single dose actual,2052.0000,0.0000,0.0000,0.0000
Single dose actual,2053.0000,0.0000,0.0000,0.0000
Single dose actual,2054.0000,0.0000,0.0000,0.0000
Single dose actual,2055.0000,0.0000,0.0000,0.0000
Single dose actual,2056.0000,0.0000,0.0000,0.0000
Single dose actual,2057.0000,0.0000,0.0000,0.0000
Single dose actual,2058.0000,0.0000,0.0000,0.0000
Single dose actual,2059.0000,0.0000,0.0000,0.0000
Single dose actual,2060.0000,0.0000,0.0000,0.0000
Single dose actual,2061.0000,0.0000,0.0000,0.0000
Single dose actual,2062.0000,0.0000,0.0000,0.0000
Single dose actual,2063.0000,0.0000,0.0000,0.0000
Single dose actual,2064.0000,0.0000,0.0000,0.0000
Single dose actual,2065.0000,0.0000,0.0000,0.0000
Single dose actual,2066.0000,0.0000,0.0000,0.0000
Single dose actual,2067.0000,0.0000,0.0000,0.0000
Single dose actual,2068.0000,0.0000,0.0000,0.0000
Single dose actual,2069.0000,0.0000,0.0000,0.0000
Single dose actual,2070.0000,0.0000,0.0000,0.0000
Single dose actual,2071.0000,0.0000,0.0000,0.0000
Single dose actual,2072.0000,0.0000,0.0000,0.0000
Single dose actual,2073.0000,0.0000,0.0000,0.0000
